20260208 14:37:09 - MainProcess | MainThread | retriever_vector.lookup_policy:123 - INFO -查询政策: '怎么才能退票呢？'
20260221 16:10:17 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260221 16:10:18 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260221 16:10:18 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260221 16:10:18 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260221 16:10:30 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260221 16:10:34 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260221 16:10:34 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260221 16:10:34 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260221 16:11:04 - MainProcess | ThreadPoolExecutor-2_0 | log_utils.info:66 - INFO -开始获取乘客 3442 587242 的航班信息
20260221 16:11:06 - MainProcess | ThreadPoolExecutor-2_0 | log_utils.info:66 - INFO -成功获取乘客 3442 587242 的 2 条航班记录
20260221 16:11:55 - MainProcess | ThreadPoolExecutor-4_0 | log_utils.__call__:53 - INFO -开始搜索租车信息 - Location: None, Name: None
20260221 16:11:55 - MainProcess | ThreadPoolExecutor-4_0 | log_utils.__call__:53 - INFO -搜索完成，找到 10 条结果
20260221 16:15:55 - MainProcess | ThreadPoolExecutor-8_0 | log_utils.info:66 - INFO -搜索航班 - Dep: BSL, Arr: CDG, Start: 2026-02-22 16:00:00, End: 2026-02-22 18:00:00
20260221 16:15:55 - MainProcess | ThreadPoolExecutor-8_0 | log_utils.info:66 - INFO -航班搜索完成，找到 0 条结果
20260221 16:16:23 - MainProcess | ThreadPoolExecutor-10_0 | log_utils.info:66 - INFO -搜索航班 - Dep: BSL, Arr: CDG, Start: 2026-02-22 00:00:00, End: 2026-02-22 23:59:59
20260221 16:16:23 - MainProcess | ThreadPoolExecutor-10_0 | log_utils.info:66 - INFO -航班搜索完成，找到 1 条结果
20260221 16:16:51 - MainProcess | ThreadPoolExecutor-12_0 | log_utils.info:66 - INFO -请求改签: 乘客 3442 587242, 机票 7240005432906569 -> 新航班 1421
20260221 16:16:53 - MainProcess | ThreadPoolExecutor-12_0 | log_utils.success:81 - SUCCESS -机票 7240005432906569 成功改签至航班 1421
20260221 16:21:51 - MainProcess | ThreadPoolExecutor-14_0 | log_utils.info:66 - INFO -搜索航班 - Dep: BSL, Arr: CDG, Start: None, End: 2026-02-22 07:28:59
20260221 16:21:51 - MainProcess | ThreadPoolExecutor-14_0 | log_utils.info:66 - INFO -航班搜索完成，找到 20 条结果
20260221 16:45:08 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260221 16:45:08 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260221 16:45:08 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260221 16:45:25 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260221 16:45:25 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 00:35:19.797677 (基准时间: 2026-02-21 16:10:06)
20260221 16:45:26 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260221 16:45:26 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260221 16:45:26 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260221 16:45:33 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260221 16:45:36 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
20260221 16:45:36 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260221 16:45:37 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260221 16:45:37 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260221 16:45:37 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260221 16:45:50 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260221 16:45:54 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260221 16:45:54 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260221 16:45:54 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260221 16:47:01 - MainProcess | ThreadPoolExecutor-2_0 | log_utils.info:66 - INFO -查询政策: '更改到更早的航班'
20260221 16:47:01 - MainProcess | ThreadPoolExecutor-2_0 | log_utils.info:66 - INFO -初始化 Embedding 模型 (Base: https://api.openai-proxy.org/v1)...
20260221 16:47:03 - MainProcess | ThreadPoolExecutor-2_0 | log_utils.info:66 - INFO -正在初始化向量检索库，共 10 个文档段落...
20260221 16:47:07 - MainProcess | ThreadPoolExecutor-2_0 | log_utils.success:81 - SUCCESS -向量库初始化完成。
20260221 16:47:07 - MainProcess | ThreadPoolExecutor-2_0 | log_utils.debug:75 - DEBUG -政策查询 Top1 相似度: 0.3896
20260222 09:29:57 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260222 09:29:57 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260222 09:29:57 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260222 09:30:11 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260222 09:30:11 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 16:44:45.911096 (基准时间: 2026-02-21 16:45:26)
20260222 09:30:12 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260222 09:30:12 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260222 09:30:12 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260222 09:30:19 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260222 09:30:22 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
20260222 09:30:22 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260222 09:30:23 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260222 09:30:23 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260222 09:30:23 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260222 09:30:36 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260222 09:30:40 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260222 09:30:40 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260222 09:30:40 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260222 10:30:56 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260222 10:30:56 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260222 10:30:56 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260222 10:31:16 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260222 10:31:16 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 01:01:04.436055 (基准时间: 2026-02-22 09:30:12)
20260222 10:31:17 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260222 10:31:17 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260222 10:31:17 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260222 10:31:25 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260222 10:31:29 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
20260222 10:31:29 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260222 10:31:30 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260222 10:31:30 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260222 10:31:30 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260222 10:31:43 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260222 10:31:48 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260222 10:31:48 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260222 10:31:48 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260222 10:33:06 - MainProcess | MainThread | log_utils.info:66 - INFO -开始获取乘客 3442 587242 的航班信息
20260222 10:33:08 - MainProcess | MainThread | log_utils.info:66 - INFO -成功获取乘客 3442 587242 的 2 条航班记录
20260222 10:33:30 - MainProcess | MainThread | log_utils.info:66 - INFO -开始获取乘客 3442 587242 的航班信息
20260222 10:33:32 - MainProcess | MainThread | log_utils.info:66 - INFO -成功获取乘客 3442 587242 的 2 条航班记录
20260222 10:37:00 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260222 10:37:00 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260222 10:37:00 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260222 10:37:15 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260222 10:37:15 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 00:05:59.297683 (基准时间: 2026-02-22 10:31:16)
20260222 10:37:15 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260222 10:37:15 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260222 10:37:15 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260222 10:37:22 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260222 10:37:25 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
20260222 10:37:25 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260222 10:37:26 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260222 10:37:26 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260222 10:37:26 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260222 10:37:37 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260222 10:37:41 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260222 10:37:41 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260222 10:37:41 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260222 10:38:17 - MainProcess | MainThread | log_utils.info:66 - INFO -开始获取乘客 3442 587242 的航班信息
20260222 10:38:20 - MainProcess | MainThread | log_utils.info:66 - INFO -成功获取乘客 3442 587242 的 2 条航班记录
20260222 10:38:34 - MainProcess | MainThread | log_utils.info:66 - INFO -开始获取乘客 3442 587242 的航班信息
20260222 10:38:36 - MainProcess | MainThread | log_utils.info:66 - INFO -成功获取乘客 3442 587242 的 2 条航班记录
20260222 10:39:02 - MainProcess | MainThread | log_utils.info:66 - INFO -开始获取乘客 3442 587242 的航班信息
20260222 10:39:04 - MainProcess | MainThread | log_utils.info:66 - INFO -成功获取乘客 3442 587242 的 2 条航班记录
20260222 15:35:27 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260222 15:35:27 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260222 15:35:27 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260222 15:35:41 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260222 15:35:42 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 04:58:27.028358 (基准时间: 2026-02-22 10:37:15)
20260222 15:35:42 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260222 15:35:42 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
20260222 15:35:42 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 airports_data 更新完毕 (Rows: 115)
20260222 15:35:48 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 boarding_passes 更新完毕 (Rows: 579686)
20260222 15:35:52 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 bookings 更新完毕 (Rows: 262788)
20260222 15:35:52 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 car_rentals 更新完毕 (Rows: 10)
20260222 15:35:53 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 flights 更新完毕 (Rows: 33121)
20260222 15:35:53 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 hotels 更新完毕 (Rows: 10)
20260222 15:35:53 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 seats 更新完毕 (Rows: 1339)
20260222 15:36:04 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 ticket_flights 更新完毕 (Rows: 1045726)
20260222 15:36:08 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 tickets 更新完毕 (Rows: 366733)
20260222 15:36:08 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 trip_recommendations 更新完毕 (Rows: 10)
20260222 15:36:08 - MainProcess | MainThread | log_utils.__call__:53 - INFO -SUCCESS: 数据库日期已成功更新至最新时间。
20260222 15:36:18 - MainProcess | MainThread | log_utils.info:66 - INFO -开始获取乘客 3442 587242 的航班信息
20260222 15:36:20 - MainProcess | MainThread | log_utils.info:66 - INFO -成功获取乘客 3442 587242 的 2 条航班记录
20260222 15:38:16 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始执行数据库日期重置任务...
20260222 15:38:16 - MainProcess | MainThread | log_utils.__call__:53 - INFO -已连接到数据库: ctrip_assistant
20260222 15:38:16 - MainProcess | MainThread | log_utils.__call__:53 - INFO -检测到数据表: ['aircrafts_data', 'airports_data', 'boarding_passes', 'bookings', 'car_rentals', 'flights', 'hotels', 'seats', 'ticket_flights', 'tickets', 'trip_recommendations']
20260222 15:38:30 - MainProcess | MainThread | log_utils.__call__:53 - INFO -所有表数据读取完成。
20260222 15:38:30 - MainProcess | MainThread | log_utils.__call__:53 - INFO -计算出的时间偏移量: 0 days 00:02:48.140555 (基准时间: 2026-02-22 15:35:42)
20260222 15:38:30 - MainProcess | MainThread | log_utils.__call__:53 - INFO -开始回写数据到数据库...
20260222 15:38:30 - MainProcess | MainThread | log_utils.__call__:53 - INFO -表 aircrafts_data 更新完毕 (Rows: 9)
